rep_seq	S1	S2	S3
S1_CAIHDJAA_00178	90.8172	NA	NA
S1_CAIHDJAA_00179	94.9326	NA	NA
S1_CAIHDJAA_00180	87.2499	NA	NA
S1_CAIHDJAA_00181	88.8125	NA	NA
S1_CAIHDJAA_00182	86.0354	NA	NA
S1_CAIHDJAA_00183	81.2173	NA	NA
S1_CAIHDJAA_00184	97.441	NA	NA
S1_CAIHDJAA_00186	92.524	NA	NA
S1_CAIHDJAA_00187	76.662	NA	NA
S1_CAIHDJAA_00188	81.835	NA	NA
S1_CAIHDJAA_00189	85.9395	NA	NA
S1_CAIHDJAA_00190	98.0729	NA	NA
S1_CAIHDJAA_00191	85.12	NA	NA
S1_CAIHDJAA_00192	86.1541	NA	NA
S1_CAIHDJAA_00193	95.4927	NA	NA
S1_CAIHDJAA_00194	97.4801	NA	NA
S1_CAIHDJAA_00195	92.3149	NA	NA
S1_CAIHDJAA_00196	91.297	NA	NA
S1_CAIHDJAA_00197	96.3237	NA	NA
S1_CAIHDJAA_00198	82.4206	NA	NA
S1_CAIHDJAA_00199	86.0876	NA	NA
S1_CAIHDJAA_00200	88.6903	NA	NA
S1_CAIHDJAA_00201	93.6138	NA	NA
S1_CAIHDJAA_00202	86.6239	NA	NA
S1_CAIHDJAA_00203	94.0768	NA	NA
S1_CAIHDJAA_00204	90.1422	NA	NA
S1_CAIHDJAA_00205	92.1459	NA	NA
S1_CAIHDJAA_00207	14.9419	NA	NA
S1_CAIHDJAA_00209	8.6519	NA	NA
S1_CAIHDJAA_00210	6.043	NA	NA
S1_CAIHDJAA_00211	83.3379	NA	NA
S1_CAIHDJAA_00212	95.0063	NA	NA
S1_CAIHDJAA_00213	87.9688	NA	NA
S1_CAIHDJAA_00214	91.4935	NA	NA
S1_CAIHDJAA_00215	96.9869	NA	NA
S1_CAIHDJAA_00216	97.5732	NA	NA
S1_CAIHDJAA_00217	83.5243	NA	NA
S1_CAIHDJAA_00218	75.1272	NA	NA
S1_CAIHDJAA_00219	94.8485	NA	NA
S1_CAIHDJAA_00220	78.8046	NA	NA
S1_CAIHDJAA_00221	80.1137	NA	NA
S1_CAIHDJAA_00222	82.9841	NA	NA
S1_CAIHDJAA_00223	92.9301	NA	NA
S1_CAIHDJAA_00224	86.8391	NA	NA
S1_CAIHDJAA_00225	84.8986	NA	NA
S1_CAIHDJAA_00226	76.411	NA	NA
S1_CAIHDJAA_00227	93.9558	NA	NA
S1_CAIHDJAA_00228	78.751	NA	NA
S1_CAIHDJAA_00229	59.3252	NA	NA
S1_CAIHDJAA_00230	87.1783	NA	NA
S1_CAIHDJAA_00231	90.2307	NA	NA
S1_CAIHDJAA_00232	93.7445	NA	NA
S1_CAIHDJAA_00233	96.1417	NA	NA
S1_CAIHDJAA_00234	91.6761	NA	NA
S1_CAIHDJAA_00235	86.9143	NA	NA
S1_CAIHDJAA_00236	97.76	NA	NA
S1_CAIHDJAA_00237	105.1028	NA	NA
S1_CAIHDJAA_00238	95.869	NA	NA
S1_CAIHDJAA_00239	98.025	NA	NA
S1_CAIHDJAA_00240	94.3182	NA	NA
S1_CAIHDJAA_00241	86.5918	NA	NA
S1_CAIHDJAA_00242	99.0848	NA	NA
S1_CAIHDJAA_00243	96.0231	NA	NA
S1_CAIHDJAA_00244	84.8265	NA	NA
S1_CAIHDJAA_00245	79.4828	NA	NA
S1_CAIHDJAA_00246	93.0358	NA	NA
S1_CAIHDJAA_00247	101.6536	NA	NA
S1_CAIHDJAA_00248	98.3469	NA	NA
S1_CAIHDJAA_00249	79.8441	NA	NA
S1_CAIHDJAA_00250	78.4074	NA	NA
S1_CAIHDJAA_00251	93.1498	NA	NA
S1_CAIHDJAA_00252	3.8801	NA	NA
S1_CAIHDJAA_00253	186.3745	NA	NA
S1_CAIHDJAA_00254	200.2417	NA	NA
S1_CAIHDJAA_00255	72.2771	NA	NA
S1_CAIHDJAA_00256	198.2568	NA	NA
S1_CAIHDJAA_00257	173.5905	NA	NA
S1_CAIHDJAA_00258	195.8699	NA	NA
S1_CAIHDJAA_00259	2.8346	NA	NA
S1_CAIHDJAA_00260	101.1791	NA	NA
S1_CAIHDJAA_00261	115.5575	NA	NA
S1_CAIHDJAA_00262	100.6274	NA	NA
S1_CAIHDJAA_00263	93.9394	NA	NA
S1_CAIHDJAA_00264	107.4567	NA	NA
S1_CAIHDJAA_00265	97.6398	NA	NA
S1_CAIHDJAA_00266	101.7179	NA	NA
S1_CAIHDJAA_00267	105.2037	NA	NA
S1_CAIHDJAA_00268	105.9076	NA	NA
S1_CAIHDJAA_00269	104.456	NA	NA
S1_CAIHDJAA_00270	102.5634	NA	NA
S1_CAIHDJAA_00271	105.9804	NA	NA
S1_CAIHDJAA_00272	109.8749	NA	NA
S1_CAIHDJAA_00273	30.069	NA	NA
S1_CAIHDJAA_00274	5.8578	NA	NA
S1_CAIHDJAA_00275	91.3366	NA	NA
S1_CAIHDJAA_00276	76.4333	NA	NA
S1_CAIHDJAA_00277	4.1789	NA	NA
S1_CAIHDJAA_00278	7.1198	NA	NA
S1_CAIHDJAA_00279	107.9699	NA	NA
S1_CAIHDJAA_00280	100.6939	NA	NA
S1_CAIHDJAA_00281	90.5209	NA	NA
S1_CAIHDJAA_00282	93.9538	NA	NA
S1_CAIHDJAA_00283	98.0798	NA	NA
S1_CAIHDJAA_00284	106.0586	NA	NA
S1_CAIHDJAA_00285	104.8916	NA	NA
S1_CAIHDJAA_00286	98.4409	NA	NA
S1_CAIHDJAA_00287	97.7163	NA	NA
S1_CAIHDJAA_00288	92.8854	NA	NA
S1_CAIHDJAA_00289	94.2733	NA	NA
S1_CAIHDJAA_00290	99.5174	NA	NA
S1_CAIHDJAA_00291	98.9388	NA	NA
S1_CAIHDJAA_00292	99.0572	NA	NA
S1_CAIHDJAA_00293	87.9373	NA	NA
S1_CAIHDJAA_00294	101.7562	NA	NA
S1_CAIHDJAA_00295	103.9286	NA	NA
S1_CAIHDJAA_00296	86.5987	NA	NA
